city,region,country,aliases
New York,NY,USA,"new york|nyc|manhattan|brooklyn|queens|flushing"
San Francisco,CA,USA,"san francisco|sf|bay area|oakland"
Jaipur,Rajasthan,India,"jaipur|pink city|rajasthan"
Bangkok,,Thailand,"bangkok|krung thep|yaowarat|silom"
Paris,,France,"paris|île-de-france|ile-de-france"
Barcelona,,Spain,"barcelona|catalunya|catalonia"
Cairo,,Egypt,"cairo|giza|islamic cairo"
Amman,,Jordan,"amman|jordan|jerash"
Dubai,,UAE,"dubai|marina|deira"
Abu Dhabi,,UAE,"abu dhabi|yas|saadiyat"
Tokyo,,Japan,"tokyo|asakusa|shibuya"
Kyoto,,Japan,"kyoto|gion|arashiyama"
London,,UK,"london|westminster|soho"
Rome,,Italy,"rome|roma|trastevere"
Mexico City,,Mexico,"mexico city|cdmx|ciudad de mexico"
Austin,TX,USA,"austin|texas"
New Orleans,LA,USA,"new orleans|nola"
Chicago,IL,USA,"chicago|the loop"
Edinburgh,,UK,"edinburgh|scotland"
Marrakech,,Morocco,"marrakech|marrakesh"
Istanbul,,Türkiye,"istanbul|constantinople"
Singapore,,Singapore,"singapore|marina bay"
Lisbon,,Portugal,"lisbon|lisboa"
Mumbai,,India,"mumbai|bombay"
Chiang Mai,,Thailand,"chiang mai|old city"
